Route_No,Bus_Model,Fuel_Type,Avg_Speed_kmph,Fuel_Consumed_Liters,Distance_Covered_km,Year,Destination,No_of_Buses_in_Route
401A,Tata Marcopolo,CNG,41.9,62.81,190,2025,RT Nagar,62
600A,Ashok Leyland Viking,Diesel,30.7,49.8,172.7,2025,Banashankari,72
348C,Eicher Skyline Pro,CNG,42.3,27.49,98.4,2025,Marathahalli,68
96E,Ashok Leyland Viking,Diesel,28.4,88.36,266.1,2025,Electronic City,71
77E,Ashok Leyland Viking,Diesel,48.1,22.27,85,2025,KR Puram,58
77E,Ashok Leyland Viking,Diesel,41.5,31.32,116.7,2025,KR Puram,15
348C,Switch EiV 12,Electric,38.2,0,182.1,2025,Marathahalli,10
401A,Volvo 9400XL,Diesel,27.3,29.43,113.2,2025,RT Nagar,76
600A,Ashok Leyland Viking,Diesel,40.8,85.79,258.1,2025,Banashankari,58
348C,Eicher Skyline Pro,CNG,43.1,31.48,136.8,2025,Marathahalli,23
60A,Eicher Skyline Pro,CNG,44.5,64.39,255.2,2025,Indiranagar,15
V500C,Tata Marcopolo,CNG,29,18.05,78.5,2025,ITPL,78
290E,Eicher Skyline Pro,CNG,25.2,61.35,193.4,2025,Mysuru Road,70
215K,Switch EiV 12,Electric,25.1,0,206,2025,Kengeri,21
279F,Switch EiV 12,Electric,38.7,0,95.4,2025,Peenya,25
348C,Tata Marcopolo,CNG,41.3,63.6,212.2,2025,Marathahalli,40
213K,Eicher Skyline Pro,CNG,30.9,62.13,216.7,2025,Banerghatta,35
365B,Tata Marcopolo,CNG,41.2,52.46,224.2,2025,Silk Board,29
279F,Eicher Skyline Pro,CNG,39.2,65.18,204.7,2025,Peenya,62
252H,Eicher Skyline Pro,CNG,31.6,41.86,140.9,2025,Bommanahalli,79
12G,Volvo 8400 B7RLE,Diesel,34.8,71.42,274.1,2025,BTM Layout,71
600A,Volvo 9400XL,Diesel,44.9,61.13,198.9,2025,Banashankari,12
365B,Ashok Leyland Viking,Diesel,37.3,66.92,186.9,2025,Silk Board,50
600A,Switch EiV 12,Electric,32,0,218.9,2025,Banashankari,17
60A,Volvo 9400XL,Diesel,41.1,23.61,65.3,2025,Indiranagar,64
356C,Ashok Leyland Viking,Diesel,48.8,68.93,266.9,2025,Majestic,78
213K,Ashok Leyland Viking,Diesel,25.4,36.33,141.4,2025,Banerghatta,33
401A,Tata Marcopolo,CNG,49.2,34.69,154.2,2025,RT Nagar,59
356C,Switch EiV 12,Electric,32.4,0,247.7,2025,Majestic,32
77E,Volvo 8400 B7RLE,Diesel,46.3,48.63,144.7,2025,KR Puram,60
401A,Eicher Skyline Pro,CNG,38.9,22.09,97.3,2025,RT Nagar,73
210N,Switch EiV 12,Electric,39.3,0,213.1,2025,Jayanagar,49
213K,Switch EiV 12,Electric,40.4,0,81.4,2025,Banerghatta,28
77E,Tata Marcopolo,CNG,28.5,73.54,277.8,2025,KR Puram,43
600A,Volvo 9400XL,Diesel,43.5,71.36,253,2025,Banashankari,13
279F,Ashok Leyland Viking,Diesel,34,72.95,214.5,2025,Peenya,12
348C,Volvo 8400 B7RLE,Diesel,45.3,62.65,238.1,2025,Marathahalli,17
215K,Volvo 8400 B7RLE,Diesel,37.8,80.22,260.9,2025,Kengeri,22
279F,Tata Marcopolo,CNG,41.2,58.13,235.6,2025,Peenya,72
12G,Tata Marcopolo,CNG,47.3,67.04,235.1,2025,BTM Layout,17
V500C,Ashok Leyland Viking,Diesel,27.3,42.35,142.6,2025,ITPL,35
290E,Ashok Leyland Viking,Diesel,36.6,20.49,67.9,2025,Mysuru Road,32
500D,Eicher Skyline Pro,CNG,39.8,40.38,123,2025,Whitefield,19
60A,Ashok Leyland Viking,Diesel,45.6,22.43,68.2,2025,Indiranagar,74
V500C,Switch EiV 12,Electric,38.1,0,88,2025,ITPL,61
252H,Switch EiV 12,Electric,30.4,0,229.4,2025,Bommanahalli,58
43E,Tata Marcopolo,CNG,27.1,64.01,197,2025,Hebbal,69
96E,Switch EiV 12,Electric,38.5,0,176.9,2025,Electronic City,45
365B,Volvo 8400 B7RLE,Diesel,43.2,50.51,200.2,2025,Silk Board,76
60A,Tata Marcopolo,CNG,33.1,41.4,173.6,2025,Indiranagar,53
96E,Ashok Leyland Viking,Diesel,36,45.69,119.6,2025,Electronic City,54
12G,Eicher Skyline Pro,CNG,49.1,15.42,65.6,2025,BTM Layout,35
348C,Eicher Skyline Pro,CNG,35.2,65.37,213.1,2025,Marathahalli,49
279F,Volvo 8400 B7RLE,Diesel,31.3,28.4,94.4,2025,Peenya,70
290E,Tata Marcopolo,CNG,41.5,63.51,217.2,2025,Mysuru Road,57
365B,Volvo 8400 B7RLE,Diesel,43.4,81.07,270.1,2025,Silk Board,44
12G,Ashok Leyland Viking,Diesel,35.5,67.77,194.6,2025,BTM Layout,23
213K,Ashok Leyland Viking,Diesel,43.9,54.85,138.3,2025,Banerghatta,44
348C,Ashok Leyland Viking,Diesel,26.2,33.38,85.5,2025,Marathahalli,34
213K,Tata Marcopolo,CNG,42.6,66.88,248.2,2025,Banerghatta,19
V500C,Eicher Skyline Pro,CNG,37.3,21.97,81.5,2025,ITPL,65
12G,Ashok Leyland Viking,Diesel,35.8,31.67,98.1,2025,BTM Layout,41
290E,Ashok Leyland Viking,Diesel,40.9,76.13,195.5,2025,Mysuru Road,22
213K,Switch EiV 12,Electric,40.6,0,142.4,2025,Banerghatta,78
356C,Switch EiV 12,Electric,46.4,0,170.7,2025,Majestic,11
12G,Volvo 9400XL,Diesel,29.1,78.63,204.9,2025,BTM Layout,19
279F,Volvo 9400XL,Diesel,25.7,59.58,201.3,2025,Peenya,69
348C,Switch EiV 12,Electric,39.4,0,266.9,2025,Marathahalli,12
60A,Eicher Skyline Pro,CNG,41.1,39.43,145.4,2025,Indiranagar,57
290E,Tata Marcopolo,CNG,48.5,50.29,180,2025,Mysuru Road,18
210N,Eicher Skyline Pro,CNG,47.6,82.43,271.5,2025,Jayanagar,36
201R,Volvo 9400XL,Diesel,27.5,29.79,75.3,2025,Yelahanka,39
600A,Volvo 8400 B7RLE,Diesel,42.1,31,80.8,2025,Banashankari,48
600A,Volvo 9400XL,Diesel,46.1,51.36,130.2,2025,Banashankari,60
290E,Volvo 9400XL,Diesel,32,89.35,239.2,2025,Mysuru Road,49
213K,Volvo 9400XL,Diesel,40.7,55.89,213.3,2025,Banerghatta,19
77E,Eicher Skyline Pro,CNG,45.1,64.77,221.7,2025,KR Puram,15
V500C,Ashok Leyland Viking,Diesel,43.8,26.68,99,2025,ITPL,20
401A,Volvo 9400XL,Diesel,35.3,90.88,277.9,2025,RT Nagar,80
77E,Eicher Skyline Pro,CNG,33.5,52.5,230.8,2025,KR Puram,73
210N,Eicher Skyline Pro,CNG,35.7,60.32,248.9,2025,Jayanagar,71
V500C,Switch EiV 12,Electric,27.6,0,226,2025,ITPL,70
77E,Switch EiV 12,Electric,37.6,0,258.6,2025,KR Puram,59
60A,Eicher Skyline Pro,CNG,33,55.67,241.8,2025,Indiranagar,14
213K,Switch EiV 12,Electric,25.3,0,145.6,2025,Banerghatta,59
215K,Switch EiV 12,Electric,27.3,0,259.2,2025,Kengeri,54
401A,Switch EiV 12,Electric,48.8,0,130.2,2025,RT Nagar,28
279F,Switch EiV 12,Electric,39.3,0,269.1,2025,Peenya,20
252H,Switch EiV 12,Electric,36.2,0,199,2025,Bommanahalli,66
12G,Volvo 9400XL,Diesel,33.2,35.48,124.5,2025,BTM Layout,72
500D,Tata Marcopolo,CNG,44.8,53.89,225.5,2025,Whitefield,17
401A,Eicher Skyline Pro,CNG,37.4,25.95,80.1,2025,RT Nagar,24
201R,Eicher Skyline Pro,CNG,36,41.76,180.9,2025,Yelahanka,22
96E,Volvo 8400 B7RLE,Diesel,27.9,50.54,137.2,2025,Electronic City,39
365B,Tata Marcopolo,CNG,40.5,72.18,227.5,2025,Silk Board,75
290E,Volvo 8400 B7RLE,Diesel,42.5,30.09,78.5,2025,Mysuru Road,58
365B,Volvo 9400XL,Diesel,42.7,91.84,240.8,2025,Silk Board,47
401A,Volvo 9400XL,Diesel,49.7,25.71,78.7,2025,RT Nagar,60
201R,Tata Marcopolo,CNG,45.3,32.01,141.5,2025,Yelahanka,35
356C,Switch EiV 12,Electric,43.8,0,276.9,2025,Majestic,67
201R,Volvo 8400 B7RLE,Diesel,27.1,38.96,142.8,2025,Yelahanka,38
60A,Ashok Leyland Viking,Diesel,35.6,47.36,182.8,2025,Indiranagar,78
K1,Volvo 8400 B7RLE,Diesel,37.3,33.57,84.5,2025,Koramangala,49
60A,Volvo 8400 B7RLE,Diesel,26.4,60.9,163.1,2025,Indiranagar,63
356C,Tata Marcopolo,CNG,41.2,20.85,85.9,2025,Majestic,50
77E,Tata Marcopolo,CNG,49.1,52.86,188.3,2025,KR Puram,31
60A,Ashok Leyland Viking,Diesel,46.7,43.34,122.9,2025,Indiranagar,33
43E,Volvo 9400XL,Diesel,25.3,68.75,271.9,2025,Hebbal,77
210N,Switch EiV 12,Electric,47.3,0,69.5,2025,Jayanagar,39
356C,Switch EiV 12,Electric,49.8,0,176.1,2025,Majestic,11
210N,Eicher Skyline Pro,CNG,38.8,17.11,76.2,2025,Jayanagar,58
252H,Eicher Skyline Pro,CNG,40.7,43.3,175.1,2025,Bommanahalli,74
348C,Volvo 8400 B7RLE,Diesel,40.7,47.39,160,2025,Marathahalli,66
348C,Volvo 8400 B7RLE,Diesel,26.1,88.42,258.3,2025,Marathahalli,71
356C,Ashok Leyland Viking,Diesel,47.3,84.53,269.1,2025,Majestic,27
279F,Volvo 8400 B7RLE,Diesel,31.9,70.59,196.4,2025,Peenya,50
77E,Volvo 8400 B7RLE,Diesel,33.8,47.99,162,2025,KR Puram,16
60A,Switch EiV 12,Electric,49.4,0,77.1,2025,Indiranagar,56
77E,Ashok Leyland Viking,Diesel,42.5,83.83,277,2025,KR Puram,68
12G,Switch EiV 12,Electric,45.3,0,128.1,2025,BTM Layout,50
348C,Volvo 8400 B7RLE,Diesel,29.1,54.47,210.6,2025,Marathahalli,26
213K,Switch EiV 12,Electric,48.7,0,241,2025,Banerghatta,27
365B,Volvo 8400 B7RLE,Diesel,40.3,70.25,219.7,2025,Silk Board,20
215K,Tata Marcopolo,CNG,46.7,86.45,265.2,2025,Kengeri,38
201R,Volvo 8400 B7RLE,Diesel,34.4,17.71,65.8,2025,Yelahanka,20
279F,Volvo 9400XL,Diesel,28.8,81.74,277.2,2025,Peenya,64
96E,Volvo 9400XL,Diesel,49.2,38.21,143.8,2025,Electronic City,72
213K,Volvo 9400XL,Diesel,36.7,78.28,244.4,2025,Banerghatta,18
500D,Ashok Leyland Viking,Diesel,26.4,31.63,120.1,2025,Whitefield,33
348C,Tata Marcopolo,CNG,50,53.13,238.8,2025,Marathahalli,77
213K,Switch EiV 12,Electric,44.2,0,182.2,2025,Banerghatta,51
365B,Eicher Skyline Pro,CNG,46.2,79.44,267.8,2025,Silk Board,18
290E,Switch EiV 12,Electric,28.2,0,159.1,2025,Mysuru Road,64
348C,Volvo 9400XL,Diesel,40.2,94.94,269.9,2025,Marathahalli,68
213K,Volvo 9400XL,Diesel,40.5,68.42,207.8,2025,Banerghatta,25
213K,Ashok Leyland Viking,Diesel,41.8,25.91,85,2025,Banerghatta,13
77E,Tata Marcopolo,CNG,38,53.74,229.9,2025,KR Puram,53
43E,Ashok Leyland Viking,Diesel,39,47.55,181.4,2025,Hebbal,26
600A,Volvo 9400XL,Diesel,28.4,58.51,148.8,2025,Banashankari,80
600A,Volvo 8400 B7RLE,Diesel,40.5,63.58,226.1,2025,Banashankari,46
V500C,Switch EiV 12,Electric,28.4,0,106.9,2025,ITPL,17
210N,Switch EiV 12,Electric,33.8,0,63.2,2025,Jayanagar,67
365B,Ashok Leyland Viking,Diesel,34.8,60.14,189.8,2025,Silk Board,73
210N,Volvo 9400XL,Diesel,33.7,79.15,258.9,2025,Jayanagar,50
60A,Volvo 9400XL,Diesel,34.9,67.69,232.4,2025,Indiranagar,52
V500C,Volvo 8400 B7RLE,Diesel,48.7,91.78,249.7,2025,ITPL,40
252H,Switch EiV 12,Electric,37.3,0,263.8,2025,Bommanahalli,48
77E,Eicher Skyline Pro,CNG,36.5,26.13,116.8,2025,KR Puram,24
500D,Tata Marcopolo,CNG,33.2,42.63,168.4,2025,Whitefield,27
365B,Volvo 8400 B7RLE,Diesel,26.9,41.88,112.8,2025,Silk Board,45
600A,Volvo 9400XL,Diesel,28.8,32.57,88.2,2025,Banashankari,73
K1,Ashok Leyland Viking,Diesel,29.5,66.59,201,2025,Koramangala,66
43E,Tata Marcopolo,CNG,36.8,64.3,257.3,2025,Hebbal,40
401A,Volvo 9400XL,Diesel,29.8,38.22,97.9,2025,RT Nagar,32
77E,Eicher Skyline Pro,CNG,32,29.77,97.2,2025,KR Puram,31
365B,Tata Marcopolo,CNG,28,21.54,79.5,2025,Silk Board,28
252H,Volvo 8400 B7RLE,Diesel,34.1,32.38,105.4,2025,Bommanahalli,78
60A,Volvo 8400 B7RLE,Diesel,26,57.28,211.9,2025,Indiranagar,27
500D,Ashok Leyland Viking,Diesel,27,51.99,198.1,2025,Whitefield,78
600A,Eicher Skyline Pro,CNG,26.5,76.89,262.6,2025,Banashankari,56
210N,Eicher Skyline Pro,CNG,43.7,72.45,237.4,2025,Jayanagar,29
356C,Eicher Skyline Pro,CNG,34.3,28.47,106.1,2025,Majestic,26
77E,Ashok Leyland Viking,Diesel,34.2,61.37,196,2025,KR Puram,62
43E,Eicher Skyline Pro,CNG,25.9,66.42,224.4,2025,Hebbal,77
77E,Volvo 9400XL,Diesel,47.4,66.38,216.9,2025,KR Puram,20
600A,Ashok Leyland Viking,Diesel,27.7,55.85,177.1,2025,Banashankari,49
279F,Volvo 9400XL,Diesel,31.1,61.02,177.2,2025,Peenya,23
500D,Ashok Leyland Viking,Diesel,25.5,47.94,143,2025,Whitefield,73
290E,Switch EiV 12,Electric,33.2,0,106.5,2025,Mysuru Road,76
43E,Ashok Leyland Viking,Diesel,47.3,25.45,86.3,2025,Hebbal,61
K1,Volvo 8400 B7RLE,Diesel,44.7,64.48,209.4,2025,Koramangala,76
77E,Switch EiV 12,Electric,38.4,0,79.1,2025,KR Puram,64
12G,Volvo 9400XL,Diesel,43.6,60.08,189.1,2025,BTM Layout,37
348C,Tata Marcopolo,CNG,32.1,24.85,88.1,2025,Marathahalli,66
K1,Ashok Leyland Viking,Diesel,39.3,66.61,202.1,2025,Koramangala,61
60A,Eicher Skyline Pro,CNG,40.1,82.54,277,2025,Indiranagar,60
252H,Switch EiV 12,Electric,28.8,0,82.4,2025,Bommanahalli,37
12G,Tata Marcopolo,CNG,29,34.79,114.1,2025,BTM Layout,14
356C,Ashok Leyland Viking,Diesel,29.3,31.91,122.7,2025,Majestic,40
500D,Eicher Skyline Pro,CNG,38.1,21.49,77.7,2025,Whitefield,50
356C,Volvo 9400XL,Diesel,27.8,89.16,276.1,2025,Majestic,17
365B,Ashok Leyland Viking,Diesel,46.6,73.36,273.3,2025,Silk Board,79
279F,Tata Marcopolo,CNG,29.3,29.15,116.7,2025,Peenya,19
213K,Eicher Skyline Pro,CNG,38.9,68.57,264.5,2025,Banerghatta,27
201R,Switch EiV 12,Electric,44.2,0,121.6,2025,Yelahanka,46
201R,Tata Marcopolo,CNG,33.1,27.79,101.1,2025,Yelahanka,37
279F,Switch EiV 12,Electric,31.1,0,171.7,2025,Peenya,44
213K,Switch EiV 12,Electric,40.3,0,85.3,2025,Banerghatta,37
252H,Switch EiV 12,Electric,39.5,0,123.5,2025,Bommanahalli,38
365B,Switch EiV 12,Electric,37,0,94,2025,Silk Board,16
60A,Volvo 9400XL,Diesel,26.3,58.97,177.2,2025,Indiranagar,31
290E,Eicher Skyline Pro,CNG,26.6,19.98,89.6,2025,Mysuru Road,39
290E,Switch EiV 12,Electric,45.2,0,130.9,2025,Mysuru Road,72
348C,Tata Marcopolo,CNG,42,28.02,116,2025,Marathahalli,50
365B,Ashok Leyland Viking,Diesel,36.8,61.26,191,2025,Silk Board,21
279F,Switch EiV 12,Electric,48.2,0,136.8,2025,Peenya,52
12G,Volvo 8400 B7RLE,Diesel,49.1,90.34,242.7,2025,BTM Layout,71
K1,Tata Marcopolo,CNG,48.5,67.48,220.8,2025,Koramangala,79
290E,Volvo 8400 B7RLE,Diesel,43.5,22.19,74.6,2025,Mysuru Road,66
348C,Ashok Leyland Viking,Diesel,28.5,66.4,245.2,2025,Marathahalli,73
V500C,Volvo 8400 B7RLE,Diesel,29.1,38.01,104.4,2025,ITPL,57
252H,Volvo 9400XL,Diesel,41.6,72.82,239.2,2025,Bommanahalli,27
12G,Tata Marcopolo,CNG,46.9,38.71,138.9,2025,BTM Layout,63
401A,Switch EiV 12,Electric,36,0,239.7,2025,RT Nagar,34
77E,Volvo 8400 B7RLE,Diesel,36.6,48.41,142.9,2025,KR Puram,57
210N,Volvo 9400XL,Diesel,37.6,78.82,224.5,2025,Jayanagar,13
210N,Tata Marcopolo,CNG,34.6,67.6,257.9,2025,Jayanagar,48
43E,Switch EiV 12,Electric,40.6,0,259.4,2025,Hebbal,71
96E,Ashok Leyland Viking,Diesel,48.5,24.9,85.7,2025,Electronic City,69
365B,Eicher Skyline Pro,CNG,28.5,31.9,133.7,2025,Silk Board,58
V500C,Ashok Leyland Viking,Diesel,38.3,51.13,196.4,2025,ITPL,14
348C,Tata Marcopolo,CNG,28.8,67.34,233.5,2025,Marathahalli,21
K1,Ashok Leyland Viking,Diesel,43.6,44.98,114.7,2025,Koramangala,26
K1,Volvo 8400 B7RLE,Diesel,44.1,48.6,185.4,2025,Koramangala,14
96E,Eicher Skyline Pro,CNG,45.5,42.74,135.3,2025,Electronic City,69
210N,Volvo 8400 B7RLE,Diesel,28.2,79.52,246.2,2025,Jayanagar,31
356C,Eicher Skyline Pro,CNG,28.7,70.4,235.4,2025,Majestic,15
600A,Ashok Leyland Viking,Diesel,43,63.23,218.9,2025,Banashankari,71
60A,Tata Marcopolo,CNG,38.6,62.97,212.7,2025,Indiranagar,29
77E,Switch EiV 12,Electric,29.5,0,136.1,2025,KR Puram,77
356C,Switch EiV 12,Electric,39.6,0,259.9,2025,Majestic,36
252H,Ashok Leyland Viking,Diesel,36.6,37.8,148.2,2025,Bommanahalli,65
600A,Tata Marcopolo,CNG,39.7,24.93,93.7,2025,Banashankari,45
77E,Switch EiV 12,Electric,25.5,0,194.5,2025,KR Puram,71
96E,Volvo 9400XL,Diesel,48.3,75.25,251.9,2025,Electronic City,17
43E,Volvo 9400XL,Diesel,48.1,59.9,213.3,2025,Hebbal,57
77E,Volvo 9400XL,Diesel,39.4,27.45,93.6,2025,KR Puram,64
215K,Volvo 9400XL,Diesel,43.4,39.29,153.3,2025,Kengeri,63
252H,Ashok Leyland Viking,Diesel,36.3,98.73,263.6,2025,Bommanahalli,20
210N,Volvo 9400XL,Diesel,46,102.98,276.7,2025,Jayanagar,17
500D,Switch EiV 12,Electric,46.7,0,262.6,2025,Whitefield,24
201R,Volvo 9400XL,Diesel,39.8,56.19,174.1,2025,Yelahanka,37
215K,Ashok Leyland Viking,Diesel,33.4,19.44,72,2025,Kengeri,49
60A,Volvo 9400XL,Diesel,33.3,19.69,61,2025,Indiranagar,61
12G,Ashok Leyland Viking,Diesel,48,59.02,178.2,2025,BTM Layout,21
600A,Volvo 8400 B7RLE,Diesel,43.4,42.88,136.3,2025,Banashankari,45
401A,Volvo 8400 B7RLE,Diesel,36.3,40.35,109.4,2025,RT Nagar,24
215K,Tata Marcopolo,CNG,37.5,27.23,98.8,2025,Kengeri,27
401A,Tata Marcopolo,CNG,34.1,67.5,261.3,2025,RT Nagar,25
60A,Volvo 9400XL,Diesel,25.3,56.96,199.1,2025,Indiranagar,69
252H,Eicher Skyline Pro,CNG,49,30.78,99.2,2025,Bommanahalli,74
77E,Volvo 8400 B7RLE,Diesel,27.1,37.84,151.2,2025,KR Puram,48
500D,Ashok Leyland Viking,Diesel,39.9,65.56,170.5,2025,Whitefield,78
96E,Ashok Leyland Viking,Diesel,30.2,58.49,225,2025,Electronic City,28
290E,Eicher Skyline Pro,CNG,29.8,34.4,105.1,2025,Mysuru Road,78
252H,Tata Marcopolo,CNG,39.1,52.9,163.9,2025,Bommanahalli,37
43E,Volvo 9400XL,Diesel,36.3,70.16,230.6,2025,Hebbal,20
96E,Eicher Skyline Pro,CNG,35,40.89,157,2025,Electronic City,35
279F,Switch EiV 12,Electric,29.5,0,94.2,2025,Peenya,58
279F,Volvo 8400 B7RLE,Diesel,48.7,81.57,249.6,2025,Peenya,77
77E,Ashok Leyland Viking,Diesel,41.1,38.42,119.6,2025,KR Puram,47
213K,Volvo 9400XL,Diesel,28.9,18.35,65.6,2025,Banerghatta,50
365B,Volvo 8400 B7RLE,Diesel,25.7,72.36,205,2025,Silk Board,33
279F,Tata Marcopolo,CNG,41.8,36.57,110.8,2025,Peenya,38
213K,Eicher Skyline Pro,CNG,45,25.37,82.9,2025,Banerghatta,60
600A,Volvo 9400XL,Diesel,31,76.85,203.6,2025,Banashankari,14
12G,Tata Marcopolo,CNG,43.1,26.5,113.5,2025,BTM Layout,71
279F,Volvo 9400XL,Diesel,34.9,69.27,242.6,2025,Peenya,56
290E,Ashok Leyland Viking,Diesel,32.3,27.34,105.1,2025,Mysuru Road,60
356C,Switch EiV 12,Electric,27.1,0,62.9,2025,Majestic,37
213K,Tata Marcopolo,CNG,25.7,32.3,105.7,2025,Banerghatta,14
V500C,Tata Marcopolo,CNG,35.5,43.4,188.3,2025,ITPL,26
77E,Volvo 8400 B7RLE,Diesel,33.5,83,239.8,2025,KR Puram,17
77E,Ashok Leyland Viking,Diesel,39.8,49.45,143.5,2025,KR Puram,40
96E,Ashok Leyland Viking,Diesel,35.2,59.28,197.3,2025,Electronic City,37
12G,Volvo 8400 B7RLE,Diesel,32.4,39.74,155.9,2025,BTM Layout,66
96E,Switch EiV 12,Electric,28.5,0,228,2025,Electronic City,22
60A,Volvo 8400 B7RLE,Diesel,37.2,65.36,251.1,2025,Indiranagar,19
600A,Ashok Leyland Viking,Diesel,35.6,93.14,236,2025,Banashankari,67
215K,Volvo 9400XL,Diesel,38.5,34.52,119.1,2025,Kengeri,34
356C,Eicher Skyline Pro,CNG,28.5,27.44,116.7,2025,Majestic,24
290E,Volvo 9400XL,Diesel,38.1,100.31,276.6,2025,Mysuru Road,19
V500C,Eicher Skyline Pro,CNG,25.5,27.43,119.9,2025,ITPL,32
500D,Ashok Leyland Viking,Diesel,39.4,29.51,85.9,2025,Whitefield,32
60A,Eicher Skyline Pro,CNG,41.3,42.85,181.9,2025,Indiranagar,33
600A,Tata Marcopolo,CNG,25.3,32.88,105.4,2025,Banashankari,44
V500C,Volvo 8400 B7RLE,Diesel,46.8,75.97,258,2025,ITPL,23
401A,Ashok Leyland Viking,Diesel,41.6,69.52,192.1,2025,RT Nagar,13
401A,Eicher Skyline Pro,CNG,35.5,73.07,261.2,2025,RT Nagar,22
348C,Tata Marcopolo,CNG,26.2,53.61,174.2,2025,Marathahalli,42
401A,Eicher Skyline Pro,CNG,27.1,56.96,222.4,2025,RT Nagar,49
348C,Volvo 8400 B7RLE,Diesel,34.7,38.87,114,2025,Marathahalli,49
V500C,Volvo 9400XL,Diesel,43,46.92,138.2,2025,ITPL,78
290E,Tata Marcopolo,CNG,36.9,46.2,184.6,2025,Mysuru Road,31
348C,Switch EiV 12,Electric,43.3,0,266.1,2025,Marathahalli,23
252H,Switch EiV 12,Electric,25.8,0,107.3,2025,Bommanahalli,19
60A,Ashok Leyland Viking,Diesel,39.9,45.67,117.7,2025,Indiranagar,37
401A,Ashok Leyland Viking,Diesel,39.9,56.37,169.2,2025,RT Nagar,26
401A,Switch EiV 12,Electric,27.7,0,229.6,2025,RT Nagar,59
201R,Volvo 9400XL,Diesel,43.2,23.59,76.5,2025,Yelahanka,46
600A,Volvo 9400XL,Diesel,35.9,73.67,211.4,2025,Banashankari,42
365B,Volvo 9400XL,Diesel,45,67.81,240.2,2025,Silk Board,68
12G,Ashok Leyland Viking,Diesel,39.8,39.42,119.9,2025,BTM Layout,75
210N,Volvo 9400XL,Diesel,47.9,29.61,80.1,2025,Jayanagar,56
252H,Volvo 8400 B7RLE,Diesel,36.2,96.88,269.1,2025,Bommanahalli,33
210N,Switch EiV 12,Electric,46.8,0,179.2,2025,Jayanagar,25
356C,Volvo 8400 B7RLE,Diesel,45.2,63.39,221.1,2025,Majestic,38
500D,Tata Marcopolo,CNG,46.2,62.91,212.3,2025,Whitefield,35
365B,Switch EiV 12,Electric,30.5,0,167.7,2025,Silk Board,21
96E,Switch EiV 12,Electric,48.6,0,277.3,2025,Electronic City,34
213K,Ashok Leyland Viking,Diesel,42.6,17.67,68.7,2025,Banerghatta,65
279F,Switch EiV 12,Electric,39.2,0,99.7,2025,Peenya,20
210N,Switch EiV 12,Electric,25.8,0,261.4,2025,Jayanagar,52
K1,Eicher Skyline Pro,CNG,32.4,48.65,213.4,2025,Koramangala,69
215K,Eicher Skyline Pro,CNG,48.6,73.72,273.6,2025,Kengeri,65
12G,Volvo 8400 B7RLE,Diesel,46.1,83.8,249.6,2025,BTM Layout,75
12G,Eicher Skyline Pro,CNG,25.9,62.24,242.4,2025,BTM Layout,23
12G,Eicher Skyline Pro,CNG,28,35.5,110.6,2025,BTM Layout,43
60A,Eicher Skyline Pro,CNG,33.5,52.16,213.2,2025,Indiranagar,50
252H,Tata Marcopolo,CNG,32.9,19.53,74.4,2025,Bommanahalli,55
356C,Ashok Leyland Viking,Diesel,33,68.05,234,2025,Majestic,63
96E,Volvo 8400 B7RLE,Diesel,40.4,89.46,254.9,2025,Electronic City,63
356C,Volvo 9400XL,Diesel,46.8,25.83,65.4,2025,Majestic,30
V500C,Volvo 9400XL,Diesel,38.2,64.58,252.4,2025,ITPL,18
252H,Eicher Skyline Pro,CNG,49.9,66.85,235.7,2025,Bommanahalli,28
252H,Volvo 9400XL,Diesel,35,71.06,228.8,2025,Bommanahalli,79
213K,Tata Marcopolo,CNG,46.8,44.26,198.1,2025,Banerghatta,11
213K,Ashok Leyland Viking,Diesel,35.4,73.12,229,2025,Banerghatta,47
348C,Eicher Skyline Pro,CNG,31,70.22,222.3,2025,Marathahalli,57
252H,Switch EiV 12,Electric,32.2,0,138,2025,Bommanahalli,70
252H,Ashok Leyland Viking,Diesel,30.8,48.85,125.2,2025,Bommanahalli,51
600A,Tata Marcopolo,CNG,49.7,17.55,63.9,2025,Banashankari,47
279F,Volvo 8400 B7RLE,Diesel,42,51.14,144.6,2025,Peenya,51
201R,Eicher Skyline Pro,CNG,44.7,85.83,269,2025,Yelahanka,37
201R,Eicher Skyline Pro,CNG,47,34.39,151.9,2025,Yelahanka,46
V500C,Tata Marcopolo,CNG,40.3,50.08,162.8,2025,ITPL,65
290E,Ashok Leyland Viking,Diesel,30.8,71.05,278.1,2025,Mysuru Road,56
600A,Volvo 9400XL,Diesel,40.2,62.07,202.9,2025,Banashankari,17
12G,Ashok Leyland Viking,Diesel,29.4,39.11,110.7,2025,BTM Layout,23
290E,Ashok Leyland Viking,Diesel,44.5,33.39,101,2025,Mysuru Road,59
43E,Ashok Leyland Viking,Diesel,49.2,19,72.7,2025,Hebbal,11
401A,Tata Marcopolo,CNG,49.9,80.99,264.1,2025,RT Nagar,28
348C,Ashok Leyland Viking,Diesel,44,41.53,147.2,2025,Marathahalli,45
201R,Volvo 9400XL,Diesel,45.4,33.1,93.9,2025,Yelahanka,24
215K,Ashok Leyland Viking,Diesel,38.4,32.22,109.2,2025,Kengeri,49
201R,Volvo 9400XL,Diesel,27.3,49.16,187.6,2025,Yelahanka,78
